CRN,Subject CodeCourse Number,Monday Ind1Tuesday Ind1Wednesday Ind1Thursday Ind1Friday Ind1,Begin Time 1,End Time1,Term Code,Bldg Code1,Room Code1,Section Max Enrollment
10902,ACCT211,TR,0800,0920,201710,MBB,217,35
10602,ART331,TR,0800,1050,201710,DMC,140,17
10604,ART341,MWF,1300,1450,201710,DMC,322,11
10614,ART454,TR,0800,1050,201710,DMC,224,23
11206,ART490,TR,0800,1050,201710,DMC,220,1
11562,BHEB600,,0000,0001,201710,,,1
10300,BHEB671,,0000,0001,201710,,,15
10302,BIBD640,M,1800,2050,201710,BSB,122,15
10947,BIBH651,,0000,0001,201710,,,12
11340,BIBH664,,0000,0001,201710,,,15
10430,BIBL101,TR,0930,1050,201710,BSB,249,25
10434,BIBL101,TR,1200,1320,201710,BSB,130,80
11424,BIBL101,MWF,1300,1350,201710,BSB,129,33
10424,BIBL211,MW,1500,1620,201710,BSB,130,60
10394,BIBL454,TR,0930,1050,201710,BSB,127,25
10321,BIBM629,,0000,0001,201710,,,15
11383,BIBM716,MTWR,0800,1700,201710,BSB,250,10
11561,BIBM798,,0000,0001,201710,,,5
11045,BIOL292,MWF,1000,1050,201710,OSC,451,32
11140,BMFT603,,0000,0001,201710,,,8
11134,BMFT641,R,1300,1550,201710,BSB,113,25
11576,BUSA530,MTWRF,,,201710,,,15
11518,BUSA550,MTWRF,,,201710,,,20
10635,CHEM113,MWF,0800,0850,201710,OSC,117,58
10653,CHEM203,MWF,0900,0950,201710,OSC,175,24
11312,CHEM355,R,1330,1720,201710,OSC,,12
10933,COMP602,T,0900,1150,201710,SHB,,8
11473,CONR643,MTWRF,,,201710,,,6
11564,CONR643,MTWRF,,,201710,,,12
11504,CONR601,MTWRF,,,201710,,,20
10624,DSGN463,F,1200,1250,201710,DMC,201,15
10478,ENGL006,MWF,0800,0850,201710,ADM,316,18
10487,ENGL006,MWF,0900,0950,201710,ADM,327,18
11373,ENGL006,MWF,0800,0850,201710,ADM,127,0
11388,ENGL112,MWF,1300,1350,201710,ADM,128,25
10530,ENGL221,MWF,1300,1350,201710,ADM,331,25
10547,ENGL326,TR,1200,1320,201710,ADM,327,18
10548,ENGL326,TR,1330,1450,201710,ADM,327,18
