Banner ID,CRN,Subject CodeCourse Number,Class Code
000474442,10902,ACCT211,JR
000018312,10902,ACCT211,JR
000595741,10902,ACCT211,SR
000874603,10902,ACCT211,SR
000778564,10902,ACCT211,JR
000985763,10902,ACCT211,JR
000662308,10902,ACCT211,SO
000457221,10902,ACCT211,SO
000023139,10902,ACCT211,SO
000044489,10902,ACCT211,SO
000840500,10902,ACCT211,SO
000674987,10902,ACCT211,JR
000700055,10902,ACCT211,JR
000737419,10902,ACCT211,SO
000214179,10902,ACCT211,JR
000620853,10902,ACCT211,SO
000037171,10902,ACCT211,JR
000179652,10902,ACCT211,JR
000679134,10902,ACCT211,SO
000345981,10902,ACCT211,JR
000358329,10902,ACCT211,SO
000471490,10902,ACCT211,FR
000355099,10902,ACCT211,SO
000723514,10902,ACCT211,SO
000403350,10902,ACCT211,SO
000712265,10902,ACCT211,SO
000164457,10902,ACCT211,SO
000958402,10902,ACCT211,SO
000167414,10902,ACCT211,SO
000538360,10902,ACCT211,SO
000500779,10902,ACCT211,SO
000157272,10902,ACCT211,SO
000489803,10902,ACCT211,JR
000523428,10902,ACCT211,SO
000928096,10902,ACCT211,JR
000750681,10602,ART331,SR
000845762,10602,ART331,SR
000881621,10602,ART331,SR
000943728,10602,ART331,SR
000822534,10602,ART331,SO
000360633,10602,ART331,JR
000706996,10602,ART331,SR
000691173,10602,ART331,SO
000589576,10602,ART331,SO
000648876,10602,ART331,SO
000549170,10602,ART331,SO
000718975,10602,ART331,SO
000953989,10604,ART341,SR
000368095,10604,ART341,SR
000441513,10604,ART341,SR
000692154,10604,ART341,SR
000399938,10604,ART341,SR
000146474,10604,ART341,SR
000052921,10604,ART341,SR
000341734,10604,ART341,JR
000399951,10604,ART341,SO
000270181,10604,ART341,SO
000027764,10604,ART341,SO
000417900,10604,ART341,JR
000753629,10604,ART341,SO
000572579,10604,ART341,SO
000706996,10604,ART341,SR
000428764,10614,ART454,SR
000472737,10614,ART454,SR
000756789,10614,ART454,SR
000953989,10614,ART454,SR
000321826,10614,ART454,SR
000368095,10614,ART454,SR
000831780,10614,ART454,SR
000795345,10614,ART454,SR
000251987,10614,ART454,SR
000308195,10614,ART454,SR
000748838,10614,ART454,SR
000899845,10614,ART454,SR
000692154,10614,ART454,SR
000378610,10614,ART454,SR
000546697,10614,ART454,SR
000399938,10614,ART454,SR
000146474,10614,ART454,SR
000615566,10614,ART454,SR
000206721,10614,ART454,SR
000773505,10614,ART454,SR
000278041,10614,ART454,SR
000969069,10614,ART454,SR
000081821,11206,ART490,SR
000723452,11206,ART490,SR
000190831,11562,BHEB600,GR
000368295,10300,BHEB671,GR
000943227,10300,BHEB671,GR
000426505,10300,BHEB671,GR
000087383,10300,BHEB671,GR
000163135,10300,BHEB671,GR
000044361,10300,BHEB671,GR
000095251,10300,BHEB671,GR
000122087,10300,BHEB671,GR
000815853,10300,BHEB671,GR
000852806,10300,BHEB671,GR
000420226,10300,BHEB671,GR
000225867,10300,BHEB671,GR
000784971,10300,BHEB671,GR
000001156,10300,BHEB671,GR
000873506,10300,BHEB671,GR
000027544,10300,BHEB671,GR
000831483,10300,BHEB671,GR
000260332,10302,BIBD640,GR
000824913,10302,BIBD640,GR
000627956,10302,BIBD640,GR
000838811,10302,BIBD640,GR
000066072,10302,BIBD640,GR
000001156,10302,BIBD640,GR
000368295,10947,BIBH651,GR
000912751,10947,BIBH651,GR
000930017,10947,BIBH651,GR
000852806,10947,BIBH651,GR
000185481,10947,BIBH651,GR
000679747,10947,BIBH651,GR
000058223,10947,BIBH651,GR
000784971,10947,BIBH651,GR
000978003,10947,BIBH651,GR
000997116,11340,BIBH664,GR
000820688,11340,BIBH664,GR
000955922,11340,BIBH664,GR
000604790,11340,BIBH664,GR
000873639,11340,BIBH664,GR
000422000,11340,BIBH664,GR
000032171,11340,BIBH664,GR
000364280,10430,BIBL101,FR
000822119,10430,BIBL101,FR
000833573,10430,BIBL101,FR
000011999,10430,BIBL101,FR
000051018,10430,BIBL101,FR
000557298,10430,BIBL101,FR
000293565,10430,BIBL101,FR
000748032,10430,BIBL101,FR
000774736,10430,BIBL101,FR
000202012,10430,BIBL101,FR
000607462,10430,BIBL101,FR
000838188,10430,BIBL101,FR
000511222,10430,BIBL101,SO
000503284,10430,BIBL101,FR
000525697,10430,BIBL101,FR
000662350,10430,BIBL101,FR
000410360,10430,BIBL101,FR
000639156,10430,BIBL101,FR
000655393,10430,BIBL101,FR
000213228,10430,BIBL101,FR
000660545,10430,BIBL101,FR
000191536,10430,BIBL101,FR
000683411,10430,BIBL101,FR
000409433,10430,BIBL101,FR
000256797,10430,BIBL101,FR
000021271,10430,BIBL101,SO
000482712,10430,BIBL101,FR
000654964,10434,BIBL101,FR
000115059,10434,BIBL101,FR
000248876,10434,BIBL101,FR
000529046,10434,BIBL101,FR
000549085,10434,BIBL101,FR
000650131,10434,BIBL101,SO
000755756,10434,BIBL101,FR
000053281,10434,BIBL101,FR
000069540,10434,BIBL101,FR
000946422,10434,BIBL101,FR
000545807,10434,BIBL101,FR
000232470,10434,BIBL101,FR
000025660,10434,BIBL101,FR
000263334,10434,BIBL101,FR
000648985,10434,BIBL101,FR
000166823,10434,BIBL101,FR
000247383,10434,BIBL101,FR
000584637,10434,BIBL101,FR
000321657,10434,BIBL101,FR
000433380,10434,BIBL101,SO
000076239,10434,BIBL101,FR
000825585,10434,BIBL101,FR
000199831,10434,BIBL101,FR
000399886,10434,BIBL101,FR
000695553,10434,BIBL101,FR
000027112,10434,BIBL101,SO
000844513,10434,BIBL101,FR
000051427,10434,BIBL101,FR
000222388,10434,BIBL101,FR
000310707,10434,BIBL101,FR
000365892,10434,BIBL101,FR
000802994,10434,BIBL101,SO
000704100,10434,BIBL101,FR
000229059,10434,BIBL101,FR
000132045,10434,BIBL101,FR
000505696,10434,BIBL101,SO
000639514,10434,BIBL101,FR
000662879,10434,BIBL101,SO
000165060,10434,BIBL101,FR
000806979,10434,BIBL101,FR
000517684,10434,BIBL101,FR
000682675,10434,BIBL101,FR
000721237,10434,BIBL101,FR
000680616,10434,BIBL101,FR
000462055,10434,BIBL101,FR
000607141,10434,BIBL101,FR
000571326,10434,BIBL101,FR
000751090,10434,BIBL101,SO
000907917,10434,BIBL101,FR
000216411,10434,BIBL101,FR
000884248,10434,BIBL101,FR
000350150,10434,BIBL101,SO
000105687,10434,BIBL101,FR
000895037,10434,BIBL101,FR
000164515,10434,BIBL101,FR
000787932,10434,BIBL101,FR
000669290,10434,BIBL101,FR
000428188,10434,BIBL101,FR
000677545,10434,BIBL101,FR
000598983,10434,BIBL101,FR
000624659,10434,BIBL101,FR
000219138,10434,BIBL101,FR
000574314,10434,BIBL101,FR
000836308,10434,BIBL101,FR
000966355,10434,BIBL101,SO
000004722,10434,BIBL101,FR
000645015,10434,BIBL101,SO
000627166,10434,BIBL101,FR
000554477,10434,BIBL101,FR
000457014,10434,BIBL101,FR
000335688,10434,BIBL101,FR
000719557,10434,BIBL101,FR
000029153,10434,BIBL101,FR
000147747,10434,BIBL101,FR
000030595,10434,BIBL101,FR
000833779,10434,BIBL101,FR
000846131,10434,BIBL101,FR
000172760,10434,BIBL101,FR
000331257,10434,BIBL101,FR
000525229,10434,BIBL101,FR
000972390,10434,BIBL101,FR
000484638,10434,BIBL101,FR
000954239,10434,BIBL101,FR
000459403,10434,BIBL101,FR
000503404,10434,BIBL101,FR
000128091,10434,BIBL101,FR
